# Minimal Reproduction Dataset Exported from LATOOLS on 2018:04:13 10:02:16
# Analysis described in '../analysis.log'
# Run latools.reproduce to import analysis.
#
# Sample: STD-2
# Analysis Time: 2015-10-29 15:25:12
Time,Al27,Ba137,Ba138,Ca43,Ca44,Mg24,Mg25,Mn55,Sr88
0.367,2200.14,0.0,12.5,366.67,17809.04,200.0,300.0,8652.16,0.0
0.725,2800.22,0.0,12.5,200.0,14506.0,466.67,200.0,7551.64,0.0
1.082,2000.11,5.0,0.0,306.668,13255.01,366.67,175.0,7151.47,46.666
1.439,1600.07,0.0,0.0,300.0,14405.92,466.67,75.0,7951.834000000001,33.33
1.796,2440.174,0.0,0.0,200.0,14506.0,466.67,225.0,7551.64,53.331999999999994
2.153,2428.1728,7.5,0.0,233.33,15306.712,200.0,175.0,8261.98,0.0
2.51,2473.77736,12.5,12.5,166.67,15106.51,466.67,150.0,7401.58,33.33
2.867,2500.18,0.0,12.5,200.0,15256.64,353.336,175.0,8101.904,0.0
3.224,2200.14,0.0,12.5,366.67,14055.63,333.34,100.0,7301.53,33.33
3.581,1900.1,0.0,25.0,233.33,15356.73,300.0,165.0,8101.89,133.33
3.938,2200.14,0.0,0.0,433.34,14906.34,333.34,75.0,8101.89,133.33
4.295,2169.73688,0.0,0.0,340.002,13705.36,333.34,125.0,8552.11,166.67
4.652,2000.11,7.5,0.0,400.0,15056.47,133.33,175.0,8181.934000000001,66.67
5.009,2248.1544000000004,0.0,0.0,166.67,13955.55,333.34,200.0,8051.87,133.33
5.366,1915.634848,12.5,0.0,266.67,14952.395199999999,333.34,75.0,7451.6,133.33
5.723,1500.06,12.5,0.0,226.67000000000002,15436.826,400.0,135.0,7531.648000000001,66.67
6.08,1613.6934399999998,12.5,25.0,66.67,14455.96,166.67,100.0,6651.27,0.0
6.437,1490.159744,0.0,12.5,300.0,15392.781200000001,333.34,50.0,6901.37,46.666
6.794,700.01,12.5,12.5,333.338,15348.742400000001,336.00519999999995,50.0,6451.2,33.33
