# Minimal Reproduction Dataset Exported from LATOOLS on 2018:04:13 10:02:16
# Analysis described in '../analysis.log'
# Run latools.reproduce to import analysis.
#
# Sample: Sample-1
# Analysis Time: 2015-10-29 15:11:05
Time,Al27,Ba137,Ba138,Ca43,Ca44,Mg24,Mg25,Mn55,Sr88
0.367,2500.18,37.5,25.0,300.0,14205.75,666.68,25.0,7901.8,0.0
0.724,1900.1,25.0,50.0,266.67,16908.15,233.33,175.0,7901.8,0.0
1.081,2120.136,0.0,25.0,233.33,14748.265200000002,353.338,190.002,7731.7300000000005,7.733040000000001
1.438,1300.05,0.0,25.0,166.67,12754.64,100.0,143.0004,7401.58,11.999200000000002
1.795,1924.1091999999999,0.0,0.0,166.67,14265.836000000001,266.67,100.0,7001.41,0.0
2.152,2100.12,10.0,0.0,273.334,13905.51,233.33,25.0,6951.39,0.0
2.509,1900.1,0.0,7.5,286.666,13755.4,100.0,75.0,7601.66,11.733680000000003
2.866,2500.18,12.5,12.5,233.33,13335.1184,133.33,75.0,7401.58,0.0
3.223,2500.18,0.0,0.0,233.33,13016.892880000001,266.67,175.0,7001.41,25.334400000000002
3.58,2500.18,0.0,0.0,233.33,11153.55,166.67,225.0,7001.41,0.0
3.937,2200.14,0.0,0.0,166.67,13084.934000000001,400.0,125.0,7001.41,26.668000000000003
4.294,1800.09,0.0,12.5,200.0,13305.088000000002,400.0,190.0,7901.8,0.0
4.65,1940.108,2.5,7.5,200.0,13355.09,400.0,155.0,8151.91,0.0
5.009,1500.06,0.0,0.0,200.0,13605.28,373.336,25.0,8131.912,66.67
5.366,1900.1,0.0,0.0,266.668,14235.814000000002,66.67,160.0,7401.58,100.0
5.723,2000.114,25.0,10.0,266.67,13255.01,261.3352,100.0,8101.89,100.0
6.08,2100.12,25.0,12.5,233.33,13953.183359999999,233.33,100.0,8201.94,100.0
6.437,2000.11,25.0,0.0,333.34,13835.498,266.67,170.0,7801.75,0.0
6.794,2100.12,0.0,7.5,133.33,13633.344799999999,313.334,169.0,7951.82,0.0
7.151,1700.08,0.0,0.0,266.67,11854.01,289.3328,125.0,6951.39,6.666
7.508,1920.11,0.0,0.0,300.0,13315.086,233.33,200.0,7751.73,0.0
7.865,1900.1,25.0,0.0,233.33,13204.998,233.33,175.0,7901.808000000001,0.0
8.222,1200.04,25.0,0.0,280.0,12304.32,313.334,250.0,7601.66,46.668000000000006
8.579,1700.08,0.0,0.0,300.0,13040.872800000001,289.3328,175.0,7811.768000000001,66.67
8.936,1932.114,12.5,25.0,133.33,13535.256000000001,266.67,125.0,7751.73,66.67
9.293,2044.9256000000003,25.0,12.5,220.0,12354.35,233.33,175.0,7301.562,0.0
9.65,1924.9156000000003,0.0,25.0,157.332,14255.79,373.336,100.0,5750.95,0.0
10.007,2032.1240000000003,12.5,0.0,66.67,14295.856,314.6672,150.0,6601.25,0.0
10.364,1100.03,7.5,25.0,133.33,14556.04,300.0,100.0,6651.27,0.0
10.721,2100.12,0.0,12.5,300.0,14856.29,200.0,275.0,7401.590000000001,33.33200000000001
11.078,2200.14,0.0,0.0,333.34,13905.51,333.34,175.0,7301.53,33.33
11.434,2280.148,0.0,0.0,333.34,14906.34,300.0,300.0,7851.77,0.0
11.792,2100.12,0.0,12.5,133.33,14976.418,340.004,200.0,7051.43,0.0
12.149,2300.15,12.5,0.0,233.33,15406.77,266.67,195.0,7891.800000000001,0.0
12.506,1880.106,12.5,12.5,133.33,14305.84,266.67,125.0,7851.77,33.33
12.863,1600.07,0.0,0.0,300.0,14345.898000000001,266.67,25.0,7851.77,100.0
13.22,1000.03,0.0,0.0,333.34,13905.51,266.67,125.0,7851.77,100.0
13.577,1400.058,0.0,5.0,420.008,12704.6,133.33,75.0,8352.01,100.0
13.934,1304.0512,0.0,0.0,430.67560000000003,14155.71,320.002,150.0,8382.036,33.33
14.291,900.02,0.0,0.0,333.34,14455.96,333.34,170.0,8281.994,0.0
14.648,1620.078,0.0,0.0,500.01,14956.38,400.0,175.0,7451.6,26.666
15.005,1500.06,0.0,2.5,386.67400000000004,13605.28,200.0,200.0,7351.56,0.0
15.362,1800.09,0.0,0.0,333.34,14305.84,500.01,195.0,8001.84,33.33
15.719,1840.1000000000001,25.0,0.0,166.67,13104.9,366.67,75.0,8021.860000000001,73.334
16.076,1200.04,25.0,7.5,300.0,14463.994,500.01,225.0,7951.82,100.0
16.433,1900.1060000000002,12.5,0.0,366.67,14656.13,633.34,225.0,7951.82,66.67
16.791,1500.06,0.0,0.0,266.67,14946.42,466.67,230.002,6451.2,66.67
17.148,2100.12,0.0,0.0,333.34,13755.4,533.34,25.0,8001.84,66.67
17.505,2100.12,12.5,0.0,333.34,13755.4,300.0,200.0,8101.89,66.67
17.862,2100.12,12.5,0.0,333.34,13755.4,300.0,200.0,8101.89,66.67
18.218,2100.12,12.5,0.0,333.34,13755.4,300.0,200.0,8101.89,21482.105599999995
18.576,10480.084512000001,12.5,0.0,333.34,13755.4,300.0,200.0,8101.89,41250.2
18.933,14166.024752000001,12.5,0.0,3133.61,90382.42,300.0,200.0,8101.89,41250.2
19.29,17828.342752,212.5,806.5408000000001,3133.61,90382.42,300.0,200.0,8101.89,294965.18960000004
19.647,18703.406416,292.502,1134.0568,94313.75028800001,2130817.6648640004,86561.63308800003,19224.831280000006,9943.02056,419298.81008
20.004,18082.896416000003,387.5,1368.1675200000002,144302.862288,3776077.789488001,133854.19508800004,27471.18,10643.416560000001,551234.6675840002
20.361,16307.48,387.5,1637.58,194291.974288,4279440.33,181146.75708800004,44631.66128000001,11603.87,627865.045856
20.718,13004.75,300.0,1637.58,253079.17,7793835.630496001,236762.81,55368.77504,11603.87,677987.03072
21.075,9102.33,275.0,1637.58,253079.17,9632445.99032,236762.81,65379.29120000001,11603.87,699944.473984
21.432,7601.63,275.0,1637.58,498986.764864,11534593.958896002,391306.98699200014,71697.82104000001,11033.548,707038.2515039999
21.789,7677.697200000001,275.0,1637.58,619131.326384,12667353.782544002,468579.0754880001,75769.89504,10619.285600000001,707782.5
